RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"Overall"
0.20,0.20 (0.14-0.31),0.14,0.31,,"28 (0.06%)","131 (0.28%)","46,470","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.99,0.99 (0.79-1.27),0.79,1.27,,"134 (0.29%)","138 (0.30%)","46,260","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.89,0.89 (0.76-1.05),0.75,1.05,,"253 (0.25%)","262 (0.26%)","102,868","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
1.03,1.03 (0.82-1.29),0.82,1.29,,"160 (0.30%)","148 (0.28%)","53,204","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.78,0.78 (0.65-0.93),0.65,0.93,,"223 (0.24%)","269 (0.27%)","93,354","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.15,1.15 (0.92-1.45),0.92,1.45,,"167 (0.27%)","137 (0.22%)","62,618","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"No insulin"
0.63,0.63 (0.26-1.50),0.26,1.50,,"<10 (<0.08%)","14 (0.11%)","13,344","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.82,0.82 (0.46-1.47),0.46,1.47,,"21 (0.07%)","24 (0.08%)","32,187","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
1.45,1.45 (0.70-3.01),0.70,3.01,,"18 (0.09%)","12 (0.06%)","21,155","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.39,0.39 (0.21-0.69),0.21,0.69,,"15 (0.05%)","38 (0.13%)","28,461","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.72,1.72 (0.80-3.73),0.80,3.73,,"18 (0.08%)","<10 (<0.05%)","22,182","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
