RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"Obesity"
0.27,0.27 (0.16-0.47),0.16,0.47,,"17 (0.08%)","60 (0.27%)","21,959","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.85,0.85 (0.61-1.20),0.61,1.20,,"62 (0.29%)","74 (0.35%)","21,097","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.95,0.95 (0.74-1.22),0.74,1.22,,"125 (0.30%)","119 (0.28%)","42,291","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
1.08,1.08 (0.76-1.54),0.76,1.54,,"68 (0.36%)","59 (0.31%)","19,007","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.83,0.83 (0.64-1.06),0.64,1.06,,"115 (0.26%)","129 (0.30%)","43,523","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.42,1.42 (0.96-2.12),0.96,2.12,,"62 (0.32%)","40 (0.21%)","19,388","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"No obesity"
0.20,0.20 (0.11-0.37),0.11,0.37,,"12 (0.05%)","58 (0.24%)","24,392","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.92,0.92 (0.67-1.28),0.67,1.28,,"69 (0.28%)","77 (0.31%)","24,945","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.81,0.81 (0.64-1.03),0.64,1.03,,"126 (0.21%)","145 (0.25%)","59,166","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.91,0.91 (0.68-1.23),0.68,1.23,,"86 (0.25%)","90 (0.27%)","33,906","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.85,0.85 (0.66-1.09),0.66,1.09,,"117 (0.24%)","131 (0.27%)","49,323","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.13,1.13 (0.86-1.49),0.86,1.49,,"110 (0.26%)","93 (0.22%)","42,717","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
