RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"Obesity"
0.19,0.19 (0.16-0.23),0.16,0.23,,"176 (0.80%)","867 (3.95%)","21,959","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.91,0.91 (0.82-1.00),0.82,1.00,,"707 (3.35%)","786 (3.73%)","21,097","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.68,0.68 (0.63-0.73),0.63,0.73,,"1,166 (2.76%)","1,572 (3.72%)","42,291","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.93,0.93 (0.83-1.04),0.83,1.04,,"578 (3.04%)","591 (3.11%)","19,007","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.68,0.68 (0.63-0.73),0.63,0.73,,"1,163 (2.67%)","1,595 (3.67%)","43,523","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.83,0.83 (0.73-0.93),0.73,0.93,,"507 (2.62%)","567 (2.92%)","19,388","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"No obesity"
0.15,0.15 (0.12-0.18),0.12,0.18,,"125 (0.51%)","821 (3.37%)","24,392","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.92,0.92 (0.83-1.02),0.83,1.02,,"649 (2.60%)","720 (2.89%)","24,945","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.65,0.65 (0.61-0.71),0.61,0.71,,"1,190 (2.01%)","1,696 (2.87%)","59,166","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.80,0.80 (0.73-0.88),0.73,0.88,,"727 (2.14%)","871 (2.57%)","33,906","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.69,0.69 (0.64-0.75),0.64,0.75,,"1,048 (2.13%)","1,449 (2.94%)","49,323","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.82,0.82 (0.75-0.90),0.75,0.90,,"866 (2.03%)","1,013 (2.37%)","42,717","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
