RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"no MASLD/MASH/Liver fibrosis and cirrhosis"
0.18,0.18 (0.11-0.31),0.11,0.31,,"16 (0.04%)","86 (0.20%)","42,703","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.90,0.90 (0.65-1.24),0.65,1.24,,"68 (0.16%)","78 (0.18%)","42,809","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.86,0.86 (0.68-1.09),0.68,1.09,,"135 (0.14%)","144 (0.15%)","95,667","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.73,0.73 (0.53-1.01),0.53,1.01,,"68 (0.14%)","88 (0.18%)","49,132","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.81,0.81 (0.63-1.04),0.63,1.04,,"117 (0.14%)","136 (0.16%)","86,301","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.01,1.01 (0.76-1.33),0.76,1.33,,"100 (0.17%)","94 (0.16%)","59,082","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"MASLD/MASH"
0.34,0.34 (0.17-0.70),0.17,0.70,,"<10 (<0.29%)","28 (0.80%)","3,505","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
1.21,1.21 (0.75-1.95),0.75,1.95,,"37 (1.31%)","31 (1.10%)","2,825","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
1.11,1.11 (0.77-1.60),0.77,1.60,,"63 (1.02%)","52 (0.84%)","6,167","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.98,0.98 (0.64-1.51),0.64,1.51,,"42 (1.24%)","41 (1.21%)","3,388","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
1.03,1.03 (0.72-1.47),0.72,1.47,,"64 (1.04%)","58 (0.94%)","6,182","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.99,0.99 (0.60-1.62),0.60,1.62,,"32 (1.10%)","30 (1.03%)","2,908","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"liver fibrosis and cirrhosis"
0.27,0.27 (0.12-0.63),0.12,0.63,,"<10 (<2.03%)","25 (5.08%)","492","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
1.14,1.14 (0.79-1.64),0.79,1.64,,"62 (5.99%)","55 (5.31%)","1,035","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
1.12,1.12 (0.84-1.51),0.84,1.51,,"97 (5.91%)","80 (4.88%)","1,641","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
1.03,1.03 (0.72-1.49),0.72,1.49,,"59 (6.16%)","57 (5.95%)","958","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.86,0.86 (0.64-1.15),0.64,1.15,,"88 (5.51%)","94 (5.89%)","1,597","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
1.48,1.48 (0.97-2.26),0.97,2.26,,"54 (6.24%)","35 (4.05%)","865","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
